AAAA,1
Abhi,8
Aditya,5
Aditya_Gupta,8
Ajay,9
Akhilesh,7.5
Akshata,10
Alan,7
Amit,5
Animesh,9
Ankita,10
Anshul,7.5
Aparna,11
Avinash_K,7.5
Bala,7
Bhavana,9
Bhushan,7.5
Darshan,7.5
Dhawan,5
Gana,10
Ganesh_S,8
Gaurav,7
Geethanjali,9.5
Giri,7.5
Gnanaprakasam,10
Gomathi,10
Hari,7
JaiPraveen,9
Jaya,10
JC,7.5
Jeeja,10
Jeevan,7
JP,7.5
Kannadhasan_K,10
Kannan,7.5
Karthick,8
Kasi,9
Kathir,7.5
Kishor,8
Kshitij,9
Kushal,7.5
Leela,7.5
Mak,5
Makesh,9
Manoj,8
Mathew,7.5
Mohan,6
Neha,8.5
Nirmala,12
Nischal,8
Nishadh,7
Pavan,7.5
Pierrick,6
Poovitha,9.5
Prakriti,8.5
Prasanna,7.5
Priya,8.5
Radhika,10
Raja,8
Ravi,5
Revathi_R,9
Revathi_S,9
Rocky,7.5
Rohit,6.5
Roshaney,10
Sameera,9
Sankalap,7.5
Santhosh,6
Sathya_JP,9
Shan,8.5
Sheshank,6.5
Shibi,7.5
Shounak,7.5
Solanki,6.5
Srikanth,7.5
SriLakshmi,10
Subrat,6
Sukantha_S,9
Suman_Dey,7
Suman_Macha,8
Suresh,6
Syam,7
Syed,8
Tanishq,8.5
Thilag,8
Trupti,8.5
Vaishnavi,10
Velappan_V,8
Vijay,9
Vishakan_V,10
Vishal,9.5
Viswa,7.5
Wini_K,8.5
Yasho,10
Zubin,8
ZxDUMMY1,8
ZxDUMMY10,9
ZxDUMMY11,9
ZxDUMMY12,10
ZxDUMMY13,10
ZxDUMMY14,10
ZxDUMMY15,10
ZxDUMMY16,10
ZxDUMMY17,11
ZxDUMMY18,11
ZxDUMMY19,11
ZxDUMMY2,8
ZxDUMMY20,11
ZxDUMMY3,8
ZxDUMMY4,8
ZxDUMMY5,9
ZxDUMMY6,9
ZxDUMMY7,9
ZxDUMMY8,9
ZxDUMMY9,9
